family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm
injection_electrons,0,0.0,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.153742397715664,20.282497718409495,-19.365884417058165,-18.851529375453758,5.921366001236805,15.181340404281702
injection_electrons,5,0.0005,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.152811099510025,20.326850191252163,-19.186566818179106,-18.67407907374202,5.861317901919707,15.005955223135004
injection_electrons,10,0.001,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.150966855851873,20.459140242413877,-18.654657056837355,-18.144798337234302,5.684060751867704,14.477561192683996
injection_electrons,15,0.0015,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.147946206640107,20.674499827896213,-17.78851577773265,-17.283163777287303,5.397395015869561,13.6241220464291
injection_electrons,20,0.002,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.14338199222783,20.964722687284613,-16.619320766931434,-16.1220079124317,5.014225268616404,12.490418290714203
injection_electrons,25,0.0025,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.136926071652958,21.31876113483501,-15.189466388747153,-14.705531551390294,4.551249855792026,11.134843618569299
injection_electrons,30,0.003,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.12837046120058,21.722964281172498,-13.552037468112754,-13.088350689235174,4.028297914407892,9.698603259734298
injection_electrons,35,0.0035,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.117734520595157,22.161849323309358,-11.768120229402601,-11.332410644579339,3.4670765629351696,8.24499435217789
injection_electrons,40,0.004,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.105296795953443,22.618769078369123,-9.904394828684548,-9.504315316478406,2.889975402722309,6.952650823545298
injection_electrons,45,0.0045000000000000005,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.091566318131495,23.076847690201294,-8.029465368506461,-7.671583505432467,2.318903666135272,5.671173218774001
injection_electrons,50,0.005,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.07720446349852,23.519903013838526,-6.210028123057921,-5.898958535156174,1.77430558329455,4.401203641302601
injection_electrons,55,0.0055000000000000005,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.062920219243555,23.93333346131806,-4.507003765100714,-4.244860061271716,1.274527615134481,3.399602441360905
injection_electrons,60,0.006,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.04936594804612,24.304939160213767,-2.97183884564719,-2.7580986890082926,0.8361275010745838,2.498948722183897
injection_electrons,65,0.006500000000000001,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.037057113463206,24.62532171448454,-1.6445039731017963,-1.4762765655791377,0.47832173399825684,1.7968761934575
injection_electrons,70,0.007,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.026329901573718,24.88860443058395,-0.5503222866933721,-0.42290581953182693,0.2493977434516866,1.7176641973446003
injection_electrons,75,0.007500000000000001,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.017338793761457,25.092362835167233,0.29988817765254083,0.39231344677299607,0.25412683983120987,1.8967628229758002
injection_electrons,80,0.008,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.01008570940669,25.237305144762626,0.9085112222165348,0.9722147447171814,0.36389031722648774,1.8682560202525007
injection_electrons,85,0.0085,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.004466161971976,25.327229053437094,1.290820965240158,1.3319923107164122,0.4459274684921568,1.959163228734102
injection_electrons,90,0.009000000000000001,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.000317017541416,25.368359145750574,1.4721498449436599,1.4965501543421578,0.4809955055013315,2.0601977427525995
injection_electrons,95,0.0095,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.99745413972965,25.368682758594634,1.485065706251154,1.4978449005679018,0.47303827100269785,1.9883648669445044
injection_electrons,100,0.01,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.995694402609047,25.337228756056877,1.3663727358267819,1.3720002321056635,0.4313586623953067,1.7631387702579993
injection_electrons,105,0.0105,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.99486282551405,25.28346824951677,1.154658963393529,1.1569092237743162,0.3670569893798506,1.5799237612657002
injection_electrons,110,0.011000000000000001,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.99478997831618,25.21653396931562,0.8871608490881977,0.8891111179351263,0.2918519227813104,1.3795930112592005
injection_electrons,115,0.0115,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.995306383404515,25.144712239734734,0.5977356469989648,0.6017587615333442,0.21813326463364036,1.2875390085338
injection_electrons,120,0.012,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.996239569322714,25.07502244815975,0.3151789236878866,0.3229360996024999,0.16022283613650984,1.1208153378250998
injection_electrons,125,0.0125,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.997416697898124,25.01291752092312,0.06200969969147874,0.07445980573228539,0.1334463718010313,1.2712540469622002
injection_electrons,130,0.013000000000000001,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.998672598430083,24.962237396979877,-0.14574854447469976,-0.1283068656192321,0.13887403809529159,1.3204485067392007
injection_electrons,135,0.0135,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.999860725006457,24.925182155717756,-0.2987159413012308,-0.2765615923689513,0.1569678098303499,1.3529190328493996
injection_electrons,140,0.014,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.000863618149197,24.90235813117255,-0.39400833699655413,-0.36787848593178296,0.17181695509506237,1.3859518159417998
injection_electrons,145,0.0145,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.00159990860635,24.893126947316688,-0.4338640794436688,-0.40481163205399184,0.17755657894736265,1.3861977939113999
injection_electrons,150,0.015000000000000001,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.00202628815914,24.8958083470329,-0.4248373307908393,-0.3940835901173112,0.17376842662972858,1.4058806851407
injection_electrons,155,0.0155,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.002134520161015,24.907967948840515,-0.37663412795642115,-0.34543410405348807,0.1627145586616867,1.3737442028197
injection_electrons,160,0.016,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.001944865426037,24.926782123565456,-0.3006275802348468,-0.2701602632184774,0.14793633341533044,1.3958176927980004
injection_electrons,165,0.0165,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.00149790438828,24.949300044698084,-0.20877892952579913,-0.18006806220230986,0.13338193759684688,1.4413405288931003
injection_electrons,170,0.017,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.000846605826506,24.972717627132827,-0.11251210463858463,-0.08637639627998572,0.12248767918883582,1.3817150836556005
injection_electrons,175,0.0175,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.000049843502623,24.994567606646953,-0.021928903702139735,0.0010434296884742622,0.11691047176668212,1.2227386407915004
injection_electrons,180,0.018000000000000002,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.999167736786646,25.012929701871112,0.055049692971231856,0.07450854062254209,0.11585686122029686,1.1573615432979993
injection_electrons,185,0.018500000000000003,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.998258511670873,25.02647840867127,0.11288745168878123,0.12871571229524648,0.11696079386739033,1.3909641686346
injection_electrons,190,0.019,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.997376240530016,25.034533749502035,0.14864563630392347,0.16094441498519796,0.11788355216896278,1.531212160436601
injection_electrons,195,0.0195,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.996568852817504,25.03701509732481,0.16180718539995365,0.17087206707722125,0.11725652574718523,1.5537536950185995
injection_electrons,200,0.02,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.9958761047765,25.034385381166736,0.15406251906839863,0.16035080646292776,0.11485985478112988,1.4574043465937994
extraction_electrons,0,0.0,100011,100011,100011,100011,1.0,1.0,9.976976528033545,10.490573821873728,15.452786604884523,47.3016335165972,54.884463860017284,23.992648307313324,64.1979302957052
extraction_electrons,5,0.0005,100011,100011,100011,100011,1.0,1.0,9.976976528033545,10.4828295019588,15.061053973906276,43.67355656306342,50.958097692095095,23.59521798586294,63.4233921942369
extraction_electrons,10,0.001,100011,100011,100011,100011,1.0,1.0,9.976976528033545,10.461207158364811,13.918556865243465,33.04924235358582,39.506761654041924,22.433099207746714,60.5861629410011
extraction_electrons,15,0.0015,100011,100011,100011,100011,1.0,1.0,9.976976528033545,10.427943043919386,12.121935695330905,16.244743994831246,21.49909004266375,20.589512706015693,55.8462307178197
extraction_electrons,20,0.002,100011,100011,100011,100011,1.0,1.0,9.976976528033545,10.386278095847974,9.837229977052077,-5.286283630469946,-1.4006903853968633,18.196493228972404,50.4797156267048
extraction_electrons,25,0.0025,100011,100011,100011,100011,1.0,1.0,9.976976528033545,10.339925935272896,7.328755760169492,-29.121777021935046,-26.54331961614843,15.424133163502258,44.284856046302394
extraction_electrons,30,0.003,100011,100011,100011,100011,1.0,1.0,9.976976528033545,10.292491526351544,5.094246208680426,-50.50521833670898,-48.93998001933259,12.470718422639257,37.434233349702
